,text,bot_or_human
0,"under this bright moon
a green rice field",bot
1,"We need ""Plod""
to spell ""Imploding"" https://t.co/MQKyl8tgkw",bot
2,"Put the ""Roving""
in ""Disapproving"" https://t.co/I1PiHc4uDD",bot
3,"along the path
take a little nap
from my shadow",bot
4,"You can't get the
""Viva"" out of
""Survivalists"" https://t.co/Gh75UFWLpz",bot
5,"amid fog
but nightfall brings
on the snowy plain",bot
6,"Put the ""Prop""
into ""Inappropriate"" https://t.co/QU28su9VY7",bot
7,"THE SEASON STARTS TONIGHT!

 7:30pm/et: @sixers/@celtics 
 10pm/et: @Lakers/@warriors 

#KiaTipOff22 on TNT https://t.co/2o7DWYtmN5",bot
8,"The defending champion @warriors host the @Lakers tonight at 10 PM ET on TNT! 

#KiaTipOff22 https://t.co/otGIq563f1",bot
9,"The NBA season starts tonight 

#KiaTipOff22 begins with an Eastern Conference clash between the @sixers and @celtics at 7:30 PM ET on TNT. https://t.co/8wz5Lmbsni",bot
10,Great day for NBA hoops,bot
11,Requesting faucet funds into  0x21b2cfaC2199CC79b4c9a98E6586d0cfF61E9D95  on the #Goerli #Ethereum test network via https://t.co/P6dDSDcYeo,bot
12,Join us in wishing @terance_mann of the @LAClippers a HAPPY 26th BIRTHDAY! #NBABDAY https://t.co/CujKkAdYMM,bot
13,"Put the ""Pose""
back in
""Multipurpose"" https://t.co/oA3vxNhKq5",bot
14,"orion's belt
tapping gently at the pain
now a little nap",bot
15,Ive been told our website has to be down tomorrow for some updating/maintenance. If you want to buy any of the old shows in the next 24/48 hours maybe consider doing it sooner rather than later. (Should be back up by Wednesday sometime Id imagine).,bot
16,reassure (noun): Cause to feel sure; give reassurance to.,bot
17,restitution (noun): A sum of money paid in compensation for loss or injury.,bot
18,embattled (adjective): Fortify by furnishing with battlements for defense.,bot
19,committee (noun): A special group delegated to consider some matter.,bot
20,president (noun): An executive officer of a firm or corporation.,bot
21,"Only one more spot in the LCS...

Here we go  https://t.co/P9AoLApZOv",bot
22,"The @CleGuardians collected 5 hits in their magical 9th inning comeback in Game 3 

The average exit velocity of those 5 hits was just 78.22mph.

#MLBTonight discusses how the club's offensive approach makes it so tough to pitch against in the #Postseason. https://t.co/SfGqIo7MOy",bot
23,".@SieraSantos discusses Aaron Boone's bullpen decisions in Game 3 and the vibe in the Guardians' clubhouse leading into tonight's game.

#Postseason | #MLBTonight https://t.co/zAtvdzzuRD",bot
24,".@CleGuardians bullpen this #Postseason:

21.2 Innings
7 Hits
1 Run (0.42 ERA)
27 Strikeouts https://t.co/Ew5DadErGL",bot
25,"The @CleGuardians are the youngest team in the league and find themselves one win away from punching their ticket to the ALCS 

#MLBTonight discusses the culture Terry Francona has established developing the young talent in Cleveland. 

#ForTheLand | #Postseason https://t.co/L5WOGmDE0c",bot
26,"The skulls denoted nothing short of utter idiocy, cretinism, or primitive semi-apedom.",bot
27,"It was the dank, humid cellar which somehow exerted the strongest repulsion on us, even though it was wholly above ground on the street sid",bot
28,"An' this is the important part, young feller - them as turned into fish things an' went into the water wouldn't never die.",bot
29,"In brief, it seemed fairly likely that this was the spot into which all the ghouls of the waking world cast the refuse of their feastings;",bot
30,"Frightful were the secrets uncovered in those evil and windowless crypts; for the remnants of unfinished pastimes were many, and in various",bot
31,You treat her right and shell love you like no one else. -George Strait,bot
32,"They say nothing lasts forever, but they aint seen us together, or the way the moonlight dances in your eyes.  -Luke Combs",bot
33,"Love this song!

@SamHuntMusic @IngridAndress https://t.co/guqTp8aiiI",bot
34,"When I got what I got, I dont miss what I had, the old me before you belongs to the past.  -Jason Aldean",bot
35,"Yeah shes crazy, but her crazy is beautiful to me.  -Luke Combs",bot
36,Since a Federal Judge ruled that serial numbers on guns impinge on the freedom of gun owners&amp;can be removed does that mean cars nolonger need an ID numbers or perhaps my drivers license number can be removed from my license this peice of creative writing leaves all of us in limbo,bot
37,BRYCE YOUNG!!!!!!,bot
38,34 might as well enter the transfer portal at halftime Lmao,bot
39,Whoa whoa whoa they have omelettes at Waffle House??????????,bot
40,I know one thing the effort @EAMaddenNFL puts into MUT needs to be the same effort they put into connected franchise,bot
41,Ink master time,bot
42,Was she impressed? https://t.co/0L6l7SWBhk,bot
43,Does This Count? https://t.co/jpP0Pi6nRY,bot
44,Tricks look way better in reverse  https://t.co/OYi8DecrZl,bot
45,"Easily set restrictions for child accounts on the PS5 console to keep content age-appropriate. Exceptions can be made for individual games, as necessary. https://t.co/T2MbmO29hd",bot
46,Which shirt trick is best? https://t.co/ykpMTzMm2s,bot
47,"Capture screenshots and videos of your gameplay with the DualSense wireless controller's create button. Share them with other players on PlayStation Network, or on select social media apps: https://t.co/BmQQB3FbX2 https://t.co/satTDVI9g8",bot
48,"Find out how to save games when playing PlayStation Plus games on PS5 consoles, PS4 consoles or PC, and how to transfer saves between streamed and downloaded PlayStation Plus games: https://t.co/bhEGUNaGtn https://t.co/Pi3OwsyDZM",bot
49,"Creating accounts for your children allows you to customise their privacy settings, spending limits, playtime schedules, and access to games based on their ratings. Take a look at some of these features on our PS5 Parental Controls Overview video: https://t.co/vtzK3w7QBK https://t.co/N1sfphOnf7",bot
50,"You should never share your login details with anyone. If you need assistance with your account on the PlayStation Network, our official PlayStation support channels are the place to visit to contact our authorized account specialists. https://t.co/rAeFn4cqUg https://t.co/mvmT6X2lt0",bot
51,The Most Impossible Spin Trick  #basketball #spinchallenge #ear https://t.co/3gf4r3yH9F,bot
52,Pep Guardiola with the ultimate respect  https://t.co/eAOgFOYvFf,bot
53,"Since 2010-11, no player has created more chances in the Champions League than Toni Kroos 

Legend. https://t.co/cJIFIeqeOm",bot
54,Real Madrid have now advanced to the knockout stages in all 31 of their Champions League appearances  https://t.co/GgXoToERgh,bot
55,.@SergioRamos gave Jon Snow his jersey  https://t.co/aED9hYea99,bot
56,Is Mbappe's ego out of control?  https://t.co/Yj1vESmguf,bot
57,"JAKKS Pacific, Inc. $JAKK to Post Q3 2022 Earnings of $3.69 Per Share, Jefferies Financial Group Forecasts https://t.co/zsklKpRSNK",bot
58,KeyCorp Weighs in on Graco Inc.s Q3 2022 Earnings $GGG https://t.co/lu1dJVnK6h,bot
59,Research Analysts Set Expectations for Herbalife Nutrition Ltd.s Q3 2022 Earnings $HLF https://t.co/PJNxdPCA4i,bot
60,"Q3 2022 Earnings Estimate for Helios Technologies, Inc. $HLIO Issued By KeyCorp https://t.co/JFwyDRJWfb",bot
61,Analysts Offer Predictions for Equinox Gold Corp.s Q3 2022 Earnings $NYSEAMERICAN:EQX https://t.co/tKkAiRr58b,bot
62,Go to HELL @Twitter @TwitterSupport,bot
63,Goodnight and may God bless each of you with His abundant grace and provision. ,bot
64,"Someone I know had in laws, one in their 80's, one in their 90's. Both has all 3 COVID shots and died within 90 days of the 3rd injection. Granted they were up there but both in great health and had family genes from late 90's to early 100's.",bot
65,For awhile I had one old pic of me up and was doxxed.,bot
66,Two of the worst financial institutions in America are Bank of America and Wells Fargo.,bot
